,Country,Elect_tech,Grid_status,2008 Gen Est,2009 Gen Est,2010 Gen Est,2011 Gen Est,2012 Gen Est,2013 Gen Est,2014 Gen Est,2015 Gen Est,2016 Gen Est,2017 Gen Est,2018 Gen Est,2019 Gen Est
355,Fiji,Renewable hydropower,Off-grid,5.242,4.872,4.379,4.979,3.897,0.498,0.379,0.384,0.468,0.462,0.533,0.526
356,Fiji,Renewable hydropower,On-grid,495.09,460.192,413.619,456.469,525.261,527.397,400.968,405.949,495.488,491.189,566.709,559.392
357,Fiji,Solid biofuels,On-grid,88.611,71.398,66.775,73.465,61.101,57.969,81.31,70.175,46.955,65.958,84.064,88.389
358,Finland,Biogas,On-grid,45.0,46.0,106.0,158.0,160.0,308.0,350.0,358.0,398.0,406.0,420.0,362.0
359,Finland,Fossil fuels,On-grid,26095.0,26326.0,33157.0,25609.0,18309.0,21393.0,17575.0,14194.0,14447.0,12698.0,14528.0,12123.0
360,Finland,Nuclear,On-grid,22958.0,23526.0,22800.0,23187.0,22987.0,23606.0,23580.0,23245.0,23203.0,22477.0,22793.0,23870.0
361,Finland,Offshore wind energy,On-grid,44.0,45.0,39.0,63.0,50.0,46.0,46.0,74.0,63.0,143.128,143.128,143.719
362,Finland,On-grid Solar photovoltaic,On-grid,3.944,4.317,4.739,5.3,5.749,6.452,7.752,11.311,22.066,48.513,90.225,147.25
363,Finland,Onshore wind energy,On-grid,216.52,231.624,255.317,418.393,444.323,727.692,1061.172,2253.359,3005.041,4652.064,5695.54,5881.027
364,Finland,Other non-renewable energy,On-grid,598.0,518.0,522.0,530.0,555.0,629.0,668.0,633.0,695.0,873.0,803.0,773.0
365,Finland,Renewable hydropower,On-grid,17112.132,12686.03,12921.994,12445.039,16859.128,12838.601,13397.044,16768.698,15799.127,14771.469,13301.104,12412.707
366,Finland,Renewable municipal waste,On-grid,295.0,290.0,299.0,268.0,334.0,395.0,441.0,471.0,519.0,556.0,662.0,610.0
367,Finland,Solid biofuels,On-grid,10064.0,8396.0,10569.0,10818.0,10707.0,11308.0,10968.0,10589.0,10602.0,10890.0,11821.0,12317.0
368,France,Biogas,On-grid,695.0,875.0,1005.0,1151.675,1296.363,1544.725,1593.462,1833.858,1991.126,2113.688,2369.754,2587.455
369,France,Fossil fuels,On-grid,53661.112,49234.197,55594.113,56812.208,54168.929,51127.083,33419.968,42373.374,54068.845,62677.844,46871.95,51100.786
370,France,Geothermal energy,On-grid,,,,62.237,56.513,90.151,83.114,91.939,97.605,133.13,126.975,128.486
